Name,Location,Categories,Founded,IPO
medmen,"Greater Los Angeles Area, West Coast, Western US","Asset Management, Cannabis, Finance, Service Industry",2010,Public
docker,"San Francisco Bay Area, West Coast, Western US","Cloud Computing, Enterprise Software, Open Source, SaaS","Jan 1, 2010",Private
credit-karma,"San Francisco Bay Area, West Coast, Western US","Credit, Finance, FinTech, Personal Finance","Mar 8, 2007",Private
rigetti-computing,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence, Big Data, Hardware, Quantum Computing, Software",2013,Private
slack,"San Francisco Bay Area, West Coast, Western US","Collaboration, Enterprise Software, Messaging, Real Time, SaaS","Jan 1, 2009",Public
applovin,"San Francisco Bay Area, Silicon Valley, West Coast","Advertising, Mobile, Mobile Apps","Mar 1, 2012",Private
medium,"San Francisco Bay Area, West Coast, Western US","Internet, News, Publishing","Jul 18, 2011",Private
ubiome,"San Francisco Bay Area, West Coast, Western US","Health Care, Machine Learning, Quantified Self","Nov 1, 2012",Private
goop,"Greater Los Angeles Area, West Coast, Western US","Beauty, Content, E-Commerce, Fashion, Health Care, Travel, Wellness",2008,Private
mongodb-inc,"Greater New York Area, East Coast, Northeastern US","Cloud Computing, Database, Open Source, PaaS, SaaS","Nov 1, 2007",Public
digital-shadows,"San Francisco Bay Area, West Coast, Western US","Analytics, Artificial Intelligence, Cyber Security, Risk Management","May 17, 2011",Private
surterra-holdings-inc,"Greater Atlanta Area, East Coast, Southern US","Cannabis, Health Care, Personal Health, Therapeutics, Wellness","Jan 2, 2014",Private
discord,"San Francisco Bay Area, West Coast, Western US","Apps, Gaming, Mobile, Video Chat","May 1, 2012",Private
15five,"San Francisco Bay Area, West Coast, Western US","Application Performance Management, Enterprise Software, Human Resources, Information Technology, SaaS, Software","May 1, 2011",Private
signpost,"Greater New York Area, East Coast, Northeastern US","CRM, Local, Marketing Automation, SaaS, Software",2010,Private
pagerduty,"San Francisco Bay Area, West Coast, Western US","Cloud Computing, Information Technology, IT Management, SaaS","Feb 1, 2009",Public
bigid,"Greater New York Area, East Coast, Northeastern US","Big Data, Network Security, Security","Feb 1, 2016",Private
pipefy,"San Francisco Bay Area, West Coast, Western US","Information Technology, SaaS, Sales Automation, Software, Task Management",2015,Private
exabeam,"San Francisco Bay Area, Silicon Valley, West Coast","Analytics, Big Data, Cyber Security, Enterprise Software, Information Technology, Real Time, Security",2013,Private
blend,"Greater San Diego Area, West Coast, Western US","3D Printing, Manufacturing",Active,Private
helium,"Greater Boston Area, East Coast, New England","Advertising, Communities, Education, Internet, Journalism, Publishing",2005,Private
